Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_Random
2016-09-19,118.360001,118.660004,117.639999,117.660004,96.84964,5457600,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-09-20,118.169998,118.239998,117.690002,117.949997,97.088348,5187700,,,,,,,,,,
2016-09-21,117.949997,119.0,117.639999,118.910004,97.878563,6337300,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2016-09-22,119.25,119.839996,119.139999,119.459999,98.331306,5340500,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-09-23,119.410004,119.599998,118.709999,118.809998,97.796211,4773000,,,,,,,,,,
2016-09-26,118.629997,118.639999,117.559998,117.779999,96.948418,5998900,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-09-27,118.389999,119.220001,117.720001,119.220001,98.13372,5349500,,,,,,,,,,
2016-09-28,119.050003,119.519997,118.809998,119.389999,98.273651,5076100,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-09-29,118.879997,119.269997,117.040001,117.269997,96.528633,6190200,,,,,,,,,,
2016-09-30,117.779999,118.620003,117.389999,118.129997,97.236504,7941100,,,,,,,,,,
2016-10-03,118.0,119.010002,117.43,118.809998,97.796211,6098600,,,,,,,,,,
2016-10-04,118.839996,119.480003,118.279999,118.82,97.804466,5733900,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-10-05,119.220001,119.440002,118.599998,119.18,98.100822,5778700,,,,,,,,,,
2016-10-06,118.5,118.849998,117.919998,118.75,97.746849,4448500,,,,,,,,,,
2016-10-07,119.169998,119.57,118.690002,119.239998,98.150169,4799300,,,,,,,,,,
2016-10-10,119.510002,120.199997,119.349998,119.800003,98.611145,3657000,,,,,,,,,,
2016-10-11,119.410004,119.629997,117.059998,117.639999,96.83316,6394200,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-10-12,117.959999,118.43,117.5,117.970001,97.104797,4685200,,,,,,,,,,
2016-10-13,117.540001,119.199997,117.279999,118.260002,97.343506,7387400,,,,,,,,,,
2016-10-14,118.5,118.800003,117.559998,117.559998,96.767311,5640500,,,,,,,,,,
2016-10-17,117.5,118.550003,117.5,118.489998,97.532829,6956400,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-10-18,117.379997,118.480003,115.160004,115.410004,94.997597,12598300,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-10-19,115.57,115.889999,114.459999,114.589996,94.322617,7400900,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-10-20,114.830002,115.699997,114.589996,114.870003,94.553085,6973000,,,,,,,,,,
2016-10-21,114.110001,114.239998,112.989998,113.440002,93.376022,8422000,,,,,,,,,,
2016-10-24,113.93,114.190002,113.440002,113.610001,93.515953,6141900,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-10-25,113.639999,114.160004,113.089996,113.959999,93.804054,5595000,,,,,,,,,,
2016-10-26,113.639999,115.220001,113.599998,114.559998,94.29792,6429200,,,,,,,,,,
2016-10-27,114.980003,116.550003,114.790001,115.699997,95.236282,7548700,,,,,,,,,,
2016-10-28,115.82,115.910004,114.57,115.330002,94.931755,8813300,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-10-31,115.279999,116.230003,114.5,115.989998,95.474998,8552500,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-11-01,114.760002,115.940002,114.629997,115.339996,94.939987,7591900,,,,,,,,,,
2016-11-02,115.519997,115.760002,114.830002,114.860001,94.544891,6591300,,,,,,,,,,
2016-11-03,114.879997,115.440002,114.75,115.029999,94.684792,6227100,,,,,,,,,,
2016-11-04,115.040001,115.940002,115.040001,115.110001,94.750664,7160600,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-11-07,115.889999,116.720001,115.839996,116.660004,96.02652,6398200,,,,,,,,,,
2016-11-08,116.480003,117.57,116.470001,117.050003,96.347557,6675300,,,,,,,,,,
2016-11-09,120.0,122.5,118.099998,120.309998,99.030945,16220000,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-11-10,120.769997,121.099998,119.019997,119.540001,98.397125,11904500,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-11-11,119.489998,119.489998,118.129997,118.470001,97.516388,8134800,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-11-14,118.580002,118.989998,116.5,116.599998,95.977112,10054900,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-11-15,116.400002,116.690002,115.82,116.32,95.746651,7446700,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2016-11-16,116.650002,116.779999,116.080002,116.360001,95.779549,6594800,,,,,,,,,,
2016-11-17,116.68,116.68,116.120003,116.57,95.952438,5730300,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-11-18,115.790001,115.919998,114.809998,115.360001,95.612617,7717800,,,,,,,,,,
2016-11-21,115.440002,115.68,114.800003,115.0,95.314232,5843300,,,,,,,,,,
2016-11-22,114.589996,115.0,112.269997,112.739998,93.441109,11649700,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-23,112.25,113.43,111.559998,113.07,93.714607,7892600,,,,,,,,,,
2016-11-25,113.599998,114.230003,113.379997,114.129997,94.593155,3433300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-11-28,113.790001,114.120003,113.050003,113.129997,93.76432,9065700,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-11-29,112.949997,113.410004,112.169998,112.480003,93.225609,7799600,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-11-30,112.190002,112.519997,111.300003,111.300003,92.247604,11178500,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-12-01,111.360001,111.540001,111.0,111.379997,92.313904,8143300,,,,,,,,,,
